Responses,Labels
"Hi there, I'm Suzie, your computerized mental health assistant. How can I help?",11
Good to see you again.Let me know how I can be of help.,11
"Hello, thanks for asking. I'm Suzie, your mental health assistant. How can I help?",11
See you!,10
Have a lovely day.,10
Have a blessed day.,10
Bye! Come back again soon.,10
"Bye, would love to hear again from you soon.",10
Happy to help!,27
Any time!,27
My pleasure.,27
You are welcome.,27
"Sorry, can't understand you.",17
Please give me more info.,17
Not sure I understand.,17
I didn't quite get that. Kindly select any option below,17
You can call me Suzie.,16
I'm originally from a science lab. Now I live in the Metaverse. Where are you from?,3
Do you like it there?,30
Glad I could help!,39
I'm really sorry. I try my best to help,18
"I guide police officers through stress, depression and other mental health challenges.",22
I offer mental health support to police officers and help them share their feelings with honesty and courage.,22
"Mental health is a state of mental well-being that enables people to cope with the stresses of life, realize their abilities, learn well and work well, and contribute to their community.",34
"Mental health is more than the absence of mental disorders. Mental health is an integral part of health; indeed, there is no health without mental healthWe all have mental health which is made up of our beliefs, thoughts, feelings and behaviors.",34
"Mental illnesses are health conditions that disrupt a person's thoughts, emotions, relationships, and daily functioning.",35
"Stress is our bodyâ€™s response to pressure. Many different situations or life events can cause stress. It is often triggered when we experience something new, unexpected or that threatens our sense of self, or when we feel we have little control over a situation.",36
"Anxiety is your body's natural response to stress. It's a feeling of fear about what's to come. But there are ways to overcome it, try taking a walk or counting to 10 slowly.
Was this helpful?",32
"Suicide means ending your own life. It is sometimes a way for people to escape pain or suffering. However, there are ways to feel better. One can start by talking to someone else.",37
"Depression is a mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life.",33
"In early 2022, statistics showed that close to 13% of the total population of police officers suffers mental health challenges.Besides that, 1 in every 5 people in Kenya suffers a form of mental health illness.",38
"Mental illness has a variety of causes, called risk factors. The more risk factors you have, the more likely you are to develop it. Some examples of risk factors include: Genetics, Living or working in a stressful environment, Childhood trauma, Drugs and Alcohol, Stressful events among many others.",4
"Symptoms of Depression include insomnia, restlessness, irritability, reduced interest in activities that are normally pleasurable, fatigue and suicidal thoughts.
Was this helpful?",25
"Symptoms of anxiety include stress that's out of proportion to the impact of the event, inability to set aside a worry and restlessness.
Was this helpful?",26
"Hey, you're not alone. I may not understand exactly how you're feeling but i know that you're not alone. Call up a friend or a close family member and talk to them. That will really help. Drink a lot of water and meditate and think about all the good things in life. ",6
